"TOA5","Meteo_UPB_Ethernet","CR300","6066","CR300.Std.09.02","CPU:UPB_Rain_28Nov2019.CR300","54384","Meteo5Min"
"TIMESTAMP","RECORD","VBat","TempDL","PBar","TempA","RH"
"TS","RN","Vdc","GradosC","[mBar]","GradosC","%"
"","","Smp","Smp","Smp","Smp","Smp"
"2020-02-01 00:00:00",18583,12.79,18.99,752.2,16.25,77.95
"2020-02-01 00:05:00",18584,12.79,19.04,752.2,16.26,77.34
"2020-02-01 00:10:00",18585,12.79,19.09,752.2,16.28,78.04
"2020-02-01 00:15:00",18586,12.79,19.12,752.2,16.12,78.01
"2020-02-01 00:20:00",18587,12.79,19.15,752.3,16.07,77.29
"2020-02-01 00:25:00",18588,12.78,19.15,752.3,16.11,77.39
"2020-02-01 00:30:00",18589,12.78,19.15,752.3,16.06,77.88
"2020-02-01 00:35:00",18590,12.78,19.15,752.2,16.02,78.38
"2020-02-01 00:40:00",18591,12.78,19.15,752.2,16.08,78.67
"2020-02-01 00:45:00",18592,12.78,19.16,752.2,16.22,78.59
"2020-02-01 00:50:00",18593,12.78,19.16,752.1,16.26,78.31
"2020-02-01 00:55:00",18594,12.77,19.16,752.1,16.09,78.95
"2020-02-01 01:00:00",18595,12.77,19.16,752,16.11,80.1
"2020-02-01 01:05:00",18596,12.77,19.15,752,16.2,80.2
"2020-02-01 01:10:00",18597,12.77,19.14,752,16.21,78.64
"2020-02-01 01:15:00",18598,12.77,19.13,752,16.14,79.41
"2020-02-01 01:20:00",18599,12.77,19.13,751.9,16.08,80.1
"2020-02-01 01:25:00",18600,12.76,19.11,752,16.12,80.4
"2020-02-01 01:30:00",18601,12.76,19.1,751.9,16.1,80.7
"2020-02-01 01:35:00",18602,12.76,19.09,751.9,16.08,81.2
"2020-02-01 01:40:00",18603,12.76,19.07,751.8,16.1,81.2
"2020-02-01 01:45:00",18604,12.76,19.05,751.8,16.24,81.1
"2020-02-01 01:50:00",18605,12.75,19.06,751.8,16.28,81.6
