"TOA5","Pluvio_UPB","CR300","6066","CR300.Std.09.02","CPU:UPB_Rain_28Nov2019.CR300","54384","Meteo5Min"
"TIMESTAMP","RECORD","VBat","TempDL","PBar","TempA","RH"
"TS","RN","Vdc","GradosC","[mBar]","GradosC","%"
"","","Smp","Smp","Smp","Smp","Smp"
"2020-07-01 00:00:00",62071,12.81,12.27,750.5,10.33,32.9
"2020-07-01 00:05:00",62072,12.81,12.18,750.5,10.41,34.74
"2020-07-01 00:10:00",62073,12.81,12.06,750.5,10.33,34.44
"2020-07-01 00:15:00",62074,12.81,11.97,750.5,10.51,33.3
"2020-07-01 00:20:00",62075,12.81,11.89,750.5,10.21,34.81
"2020-07-01 00:25:00",62076,12.8,11.81,750.5,10.15,34.42
"2020-07-01 00:30:00",62077,12.8,11.7,750.6,9.93,39.08
"2020-07-01 00:35:00",62078,12.8,11.6,750.5,9.41,40.75
"2020-07-01 00:40:00",62079,12.8,11.46,750.6,9.34,38.29
"2020-07-01 00:45:00",62080,12.79,11.31,750.6,8.68,48.3
"2020-07-01 00:50:00",62081,12.79,11.16,750.6,8.49,43.79
"2020-07-01 00:55:00",62082,12.79,11,750.6,8.94,39.72
"2020-07-01 01:00:00",62083,12.79,10.86,750.6,9.01,38.66
"2020-07-01 01:05:00",62084,12.79,10.72,750.6,8.91,42.6
"2020-07-01 01:10:00",62085,12.78,10.59,750.6,8.73,39.54
"2020-07-01 01:15:00",62086,12.78,10.45,750.6,8.71,40.64
"2020-07-01 01:20:00",62087,12.78,10.32,750.6,8.76,43.26
"2020-07-01 01:25:00",62088,12.78,10.22,750.7,8.49,44.59
"2020-07-01 01:30:00",62089,12.77,10.1,750.6,8.53,44.35
"2020-07-01 01:35:00",62090,12.77,10.03,750.6,8.45,44.99
"2020-07-01 01:40:00",62091,12.77,9.96,750.5,8.5,43.7
"2020-07-01 01:45:00",62092,12.77,9.9,750.5,8.35,44.36
"2020-07-01 01:50:00",62093,12.77,9.84,750.5,8.4,40.88
