"TOA5","Pluvio_UPB","CR300","6066","CR300.Std.10.03","CPU:UPB_Rain_4Dic2020.CR300","9715","Meteo5Min"
"TIMESTAMP","RECORD","VBat","TempDL","PBar","TempA","RH"
"TS","RN","Vdc","GradosC","[mBar]","GradosC","%"
"","","Smp","Smp","Smp","Smp","Smp"
"2024-09-01 00:00:00",393493,12.76,17.63,754.7,15.93,39.7
"2024-09-01 00:05:00",393494,12.75,17.56,754.7,16.07,40.1
"2024-09-01 00:10:00",393495,12.75,17.51,754.6,16.33,40.32
"2024-09-01 00:15:00",393496,12.75,17.5,754.6,16.02,41.4
"2024-09-01 00:20:00",393497,12.75,17.47,754.6,15.95,41.55
"2024-09-01 00:25:00",393498,12.75,17.43,754.6,15.92,41.8
"2024-09-01 00:30:00",393499,12.75,17.4,754.6,16.15,40.14
"2024-09-01 00:35:00",393500,12.75,17.37,754.5,15.93,41.65
"2024-09-01 00:40:00",393501,12.74,17.3,754.5,15.69,41.52
"2024-09-01 00:45:00",393502,12.74,17.21,754.5,15.53,41.51
"2024-09-01 00:50:00",393503,12.74,17.14,754.4,15.63,40.69
"2024-09-01 00:55:00",393504,12.74,17.07,754.5,15.88,40.68
"2024-09-01 01:00:00",393505,12.74,17.04,754.4,15.77,40.99
"2024-09-01 01:05:00",393506,12.74,17.01,754.4,15.86,41.1
"2024-09-01 01:10:00",393507,12.73,16.96,754.3,15.23,42.42
"2024-09-01 01:15:00",393508,12.73,16.93,754.4,15.58,41.38
"2024-09-01 01:20:00",393509,12.73,16.87,754.3,15.58,42.02
"2024-09-01 01:25:00",393510,12.73,16.83,754.3,15.28,43.16
"2024-09-01 01:30:00",393511,12.73,16.77,754.4,15.08,43.7
"2024-09-01 01:35:00",393512,12.73,16.7,754.3,15.04,44.11
"2024-09-01 01:40:00",393513,12.72,16.6,754.3,15.34,43.42
"2024-09-01 01:45:00",393514,12.72,16.52,754.3,15.22,44.26
"2024-09-01 01:50:00",393515,12.72,16.48,754.3,15.38,43.14
